,date,active case
718,"Feb 02, 2022",1527489
719,"Feb 03, 2022",1429094
720,"Feb 04, 2022",1325162
721,"Feb 05, 2022",1218514
722,"Feb 06, 2022",1102428
723,"Feb 07, 2022",988381
724,"Feb 08, 2022",886289
725,"Feb 09, 2022",784234
726,"Feb 10, 2022",691236
727,"Feb 11, 2022",603867
728,"Feb 12, 2022",530491
729,"Feb 13, 2022",472291
730,"Feb 14, 2022",416533
731,"Feb 15, 2022",363639
732,"Feb 16, 2022",326314
733,"Feb 17, 2022",285478
734,"Feb 18, 2022",247120
735,"Feb 19, 2022",217559
736,"Feb 20, 2022",195499
737,"Feb 21, 2022",174444
738,"Feb 22, 2022",157884
739,"Feb 23, 2022",141717
740,"Feb 24, 2022",127587
741,"Feb 25, 2022",115230
742,"Feb 26, 2022",104816
743,"Feb 27, 2022",95976
744,"Feb 28, 2022",85812
745,"Mar 01, 2022",79049
746,"Mar 02, 2022",70489
747,"Mar 03, 2022",63230
748,"Mar 04, 2022",57208
749,"Mar 05, 2022",52774
750,"Mar 06, 2022",47445
751,"Mar 07, 2022",43274
752,"Mar 08, 2022",40287
753,"Mar 09, 2022",37812
754,"Mar 10, 2022",35540
755,"Mar 11, 2022",33880
756,"Mar 12, 2022",31420
757,"Mar 13, 2022",29489
758,"Mar 14, 2022",27236
759,"Mar 15, 2022",26129
760,"Mar 16, 2022",24118
761,"Mar 17, 2022",22498
762,"Mar 18, 2022",21120
763,"Mar 19, 2022",19555
764,"Mar 20, 2022",18446
765,"Mar 21, 2022",17228
766,"Mar 22, 2022",16402
767,"Mar 23, 2022",15742
768,"Mar 24, 2022",14846
769,"Mar 25, 2022",14062
770,"Mar 26, 2022",13508
771,"Mar 27, 2022",13179
772,"Mar 28, 2022",12701
773,"Mar 29, 2022",12025
774,"Mar 30, 2022",11628
775,"Mar 31, 2022",10993
776,"Apr 01, 2022",10767
777,"Apr 02, 2022",10335
778,"Apr 03, 2022",9918
779,"Apr 04, 2022",9375
780,"Apr 05, 2022",9191
781,"Apr 06, 2022",8960
782,"Apr 07, 2022",8812
783,"Apr 08, 2022",8686
784,"Apr 09, 2022",8473
785,"Apr 10, 2022",8378
786,"Apr 11, 2022",8186
787,"Apr 12, 2022",8163
788,"Apr 13, 2022",8322
789,"Apr 14, 2022",8421
790,"Apr 15, 2022",8565
791,"Apr 16, 2022",8726
792,"Apr 17, 2022",8893
793,"Apr 18, 2022",9181
794,"Apr 19, 2022",9691
795,"Apr 20, 2022",10784
796,"Apr 21, 2022",11592
797,"Apr 22, 2022",12430
798,"Apr 23, 2022",13224
799,"Apr 24, 2022",13873
800,"Apr 25, 2022",13914
801,"Apr 26, 2022",15080
802,"Apr 27, 2022",15611
803,"Apr 28, 2022",16742
804,"Apr 29, 2022",17315
805,"Apr 30, 2022",17723
806,"May 01, 2022",18288
807,"May 02, 2022",18021
808,"May 03, 2022",18423
809,"May 04, 2022",18350
810,"May 05, 2022",21478
811,"May 06, 2022",18934
812,"May 07, 2022",19580
813,"May 08, 2022",19034
814,"May 09, 2022",18268
815,"May 10, 2022",18125
816,"May 11, 2022",17698
817,"May 12, 2022",17581
818,"May 13, 2022",16727
819,"May 14, 2022",16323
820,"May 15, 2022",15948
821,"May 16, 2022",15031
822,"May 17, 2022",14278
823,"May 18, 2022",14050
824,"May 19, 2022",13675
825,"May 20, 2022",13814
826,"May 21, 2022",13586
827,"May 22, 2022",13463
828,"May 23, 2022",13472
829,"May 24, 2022",13602
830,"May 25, 2022",14045
831,"May 26, 2022",14445
832,"May 27, 2022",14939
833,"May 28, 2022",15718
834,"May 29, 2022",16329
835,"May 30, 2022",17009
836,"May 31, 2022",17551
837,"Jun 01, 2022",19334
838,"Jun 02, 2022",20822
839,"Jun 03, 2022",20382
840,"Jun 04, 2022",23946
841,"Jun 05, 2022",24413
842,"Jun 06, 2022",25607
843,"Jun 07, 2022",27488
844,"Jun 08, 2022",31129
845,"Jun 09, 2022",37057
846,"Jun 10, 2022",39001
847,"Jun 11, 2022",43144
848,"Jun 12, 2022",48529
849,"Jun 13, 2022",49179
850,"Jun 14, 2022",52268
851,"Jun 15, 2022",58723
852,"Jun 16, 2022",61694
853,"Jun 17, 2022",66739
854,"Jun 18, 2022",71105
855,"Jun 19, 2022",76907
856,"Jun 20, 2022",79393
857,"Jun 21, 2022",83330
858,"Jun 22, 2022",85260
859,"Jun 23, 2022",89637
860,"Jun 24, 2022",93240
861,"Jun 25, 2022",92565
862,"Jun 26, 2022",93051
863,"Jun 27, 2022",97100
864,"Jun 28, 2022",101321
865,"Jun 29, 2022",103186
866,"Jun 30, 2022",107868
867,"Jul 01, 2022",110392
868,"Jul 02, 2022",110342
869,"Jul 03, 2022",112495
870,"Jul 04, 2022",114244
871,"Jul 05, 2022",113843
872,"Jul 06, 2022",120233
873,"Jul 07, 2022",122714
874,"Jul 08, 2022",123659
875,"Jul 09, 2022",129505
876,"Jul 10, 2022",129344
877,"Jul 11, 2022",129674
878,"Jul 12, 2022",133393
879,"Jul 13, 2022",134707
880,"Jul 14, 2022",137704
